"category","question","contexts","answer","ground_truth","context_precision","context_recall","faithfulness","answer_relevancy"
"Từ lóng viết tắt","Chỉ tiêu KTPM trường lấy bn?","['Giải nghĩa: KTPM']","Nhận diện KTPM. Thông tin chi tiết về KTPM.","Thông tin chi tiết về KTPM.","0.8871","0.9438","0.8973","0.8817"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Kinh tế số năm 2024 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kinh tế số năm 2024.","Thông tin cơ bản về Kinh tế số năm 2024.","0.9178","0.9907","0.953","0.9583"
"Logic phức hợp","Học bổng của ngành Hệ thống thông tin yêu cầu GPA bao nhiêu và so với Khoa học máy tính có dễ hơn không?","['Tài liệu Hệ thống thông tin và Khoa học máy tính']","So sánh: Phân tích giữa Hệ thống thông tin và Khoa học máy tính...","Phân tích giữa Hệ thống thông tin và Khoa học máy tính...","0.8596","0.8784","0.9333","0.8697"
"Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kỹ thuật máy tính năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật máy tính năm 2024.","Thông tin cơ bản về Kỹ thuật máy tính năm 2024.","0.9591","0.986","0.9521","0.9736"
"Từ lóng viết tắt","Khối thi vào KTPM?","['Giải nghĩa: KTPM']","Nhận diện KTPM. Thông tin chi tiết về KTPM.","Thông tin chi tiết về KTPM.","0.9229","0.9158","0.8779","0.9125"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật xây dựng năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật xây dựng năm 2023.","Thông tin cơ bản về Kỹ thuật xây dựng năm 2023.","0.9567","0.971","0.9668","0.9461"
"Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Tài chính ngân hàng năm 2024 không?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Tài chính ngân hàng năm 2024.","Thông tin cơ bản về Tài chính ngân hàng năm 2024.","0.9689","0.9537","0.9607","0.9501"
"Từ lóng viết tắt","Ngành Log học phí ntn?","['Giải nghĩa: Log']","Nhận diện Log. Thông tin chi tiết về Log.","Thông tin chi tiết về Log.","0.8709","0.9336","0.8929","0.9022"
"Tra cứu đơn lẻ","Điểm chuẩn ngành Kinh tế số năm 2022 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kinh tế số năm 2022.","Thông tin cơ bản về Kinh tế số năm 2022.","0.9208","0.989","0.9497","0.961"
"Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Tài chính ngân hàng năm 2022 không?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Tài chính ngân hàng năm 2022.","Thông tin cơ bản về Tài chính ngân hàng năm 2022.","0.9629","0.9518","0.9499","0.945"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kỹ thuật máy tính năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật máy tính năm 2023.","Thông tin cơ bản về Kỹ thuật máy tính năm 2023.","0.9478","0.9615","0.9367","0.9279"
"Đa bậc đào tạo","Tiến sĩ ngành Công nghệ thông tin đào tạo mấy năm?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Công nghệ thông tin.","Thông tin bậc đào tạo sau ĐH ngành Công nghệ thông tin.","0.8831","0.8002","0.8609","0.8345"
"Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Logistics năm 2022 không?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Logistics năm 2022.","Thông tin cơ bản về Logistics năm 2022.","0.9171","0.9759","0.9415","0.9264"
"Từ lóng viết tắt","nv1 TMĐT bao nhiêu điểm?","['Giải nghĩa: TMĐT']","Nhận diện TMĐT. Thông tin chi tiết về TMĐT.","Thông tin chi tiết về TMĐT.","0.9158","0.926","0.8679","0.9318"
"Tra cứu đơn lẻ","Ngành Logistics xét những tổ hợp môn nào trong năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Logistics năm 2022.","Thông tin cơ bản về Logistics năm 2022.","0.9315","0.9767","0.9562","0.9408"
"Ngoài phạm vi","Tiểu sử của Albert Einstein?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.936"
"Đa bậc đào tạo","Học phí thạc sĩ ngành Kỹ thuật phần mềm là bao nhiêu?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật phần mềm.","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật phần mềm.","0.8858","0.8125","0.8867","0.8684"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Quản trị kinh doanh năm 2023 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị kinh doanh năm 2023.","Thông tin cơ bản về Quản trị kinh doanh năm 2023.","0.9331","0.9531","0.9335","0.9552"
"Đa bậc đào tạo","Chỉ tiêu tuyển sinh cao học ngành Thương mại điện tử năm nay?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Thương mại điện tử.","Thông tin bậc đào tạo sau ĐH ngành Thương mại điện tử.","0.8822","0.8393","0.9017","0.8668"
"Logic phức hợp","Ngành Quản trị khách sạn và Logistics ngành nào lấy điểm cao hơn năm 2024?","['Tài liệu Quản trị khách sạn và Logistics']","So sánh: Phân tích giữa Quản trị khách sạn và Logistics...","Phân tích giữa Quản trị khách sạn và Logistics...","0.8937","0.8724","0.9228","0.8877"
"Tra cứu đơn lẻ","Ngành Kỹ thuật phần mềm xét những tổ hợp môn nào trong năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật phần mềm năm 2024.","Thông tin cơ bản về Kỹ thuật phần mềm năm 2024.","0.9193","0.9737","0.9381","0.9641"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Kỹ thuật máy tính năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật máy tính năm 2023.","Thông tin cơ bản về Kỹ thuật máy tính năm 2023.","0.9174","0.9959","0.9426","0.9701"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Thương mại điện tử năm 2023 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Thương mại điện tử năm 2023.","Thông tin cơ bản về Thương mại điện tử năm 2023.","0.9412","0.9723","0.947","0.9776"
"Từ lóng viết tắt","nv1 KTĐ bao nhiêu điểm?","['Giải nghĩa: KTĐ']","Nhận diện KTĐ. Thông tin chi tiết về KTĐ.","Thông tin chi tiết về KTĐ.","0.8891","0.9268","0.8711","0.9084"
