"id","category","question","ground_truth"
"1","Từ lóng viết tắt","Chỉ tiêu KTPM trường lấy bn?","Thông tin chi tiết về KTPM."
"2","Tra cứu đơn lẻ","Chỉ tiêu ngành Kinh tế số năm 2024 lấy bao nhiêu?","Thông tin cơ bản về Kinh tế số năm 2024."
"3","Logic phức hợp","Học bổng của ngành Hệ thống thông tin yêu cầu GPA bao nhiêu và so với Khoa học máy tính có dễ hơn không?","Phân tích giữa Hệ thống thông tin và Khoa học máy tính..."
"4","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kỹ thuật máy tính năm 2024?","Thông tin cơ bản về Kỹ thuật máy tính năm 2024."
"5","Từ lóng viết tắt","Khối thi vào KTPM?","Thông tin chi tiết về KTPM."
"6","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật xây dựng năm 2023?","Thông tin cơ bản về Kỹ thuật xây dựng năm 2023."
"7","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Tài chính ngân hàng năm 2024 không?","Thông tin cơ bản về Tài chính ngân hàng năm 2024."
"8","Từ lóng viết tắt","Ngành Log học phí ntn?","Thông tin chi tiết về Log."
"9","Tra cứu đơn lẻ","Điểm chuẩn ngành Kinh tế số năm 2022 là bao nhiêu?","Thông tin cơ bản về Kinh tế số năm 2022."
"10","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Tài chính ngân hàng năm 2022 không?","Thông tin cơ bản về Tài chính ngân hàng năm 2022."
"11","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kỹ thuật máy tính năm 2023?","Thông tin cơ bản về Kỹ thuật máy tính năm 2023."
"12","Đa bậc đào tạo","Tiến sĩ ngành Công nghệ thông tin đào tạo mấy năm?","Thông tin bậc đào tạo sau ĐH ngành Công nghệ thông tin."
"13","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Logistics năm 2022 không?","Thông tin cơ bản về Logistics năm 2022."
"14","Từ lóng viết tắt","nv1 TMĐT bao nhiêu điểm?","Thông tin chi tiết về TMĐT."
"15","Tra cứu đơn lẻ","Ngành Logistics xét những tổ hợp môn nào trong năm 2022?","Thông tin cơ bản về Logistics năm 2022."
"16","Ngoài phạm vi","Tiểu sử của Albert Einstein?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"17","Đa bậc đào tạo","Học phí thạc sĩ ngành Kỹ thuật phần mềm là bao nhiêu?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật phần mềm."
"18","Tra cứu đơn lẻ","Chỉ tiêu ngành Quản trị kinh doanh năm 2023 lấy bao nhiêu?","Thông tin cơ bản về Quản trị kinh doanh năm 2023."
"19","Đa bậc đào tạo","Chỉ tiêu tuyển sinh cao học ngành Thương mại điện tử năm nay?","Thông tin bậc đào tạo sau ĐH ngành Thương mại điện tử."
"20","Logic phức hợp","Ngành Quản trị khách sạn và Logistics ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Quản trị khách sạn và Logistics..."
"21","Tra cứu đơn lẻ","Ngành Kỹ thuật phần mềm xét những tổ hợp môn nào trong năm 2024?","Thông tin cơ bản về Kỹ thuật phần mềm năm 2024."
"22","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Kỹ thuật máy tính năm 2023?","Thông tin cơ bản về Kỹ thuật máy tính năm 2023."
"23","Tra cứu đơn lẻ","Chỉ tiêu ngành Thương mại điện tử năm 2023 lấy bao nhiêu?","Thông tin cơ bản về Thương mại điện tử năm 2023."
"24","Từ lóng viết tắt","nv1 KTĐ bao nhiêu điểm?","Thông tin chi tiết về KTĐ."
"25","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Thương mại điện tử năm 2023?","Thông tin cơ bản về Thương mại điện tử năm 2023."
"26","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kế toán năm 2023?","Thông tin cơ bản về Kế toán năm 2023."
"27","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật ô tô năm 2022?","Thông tin cơ bản về Kỹ thuật ô tô năm 2022."
"28","Đa bậc đào tạo","Học phí thạc sĩ ngành Quản trị kinh doanh là bao nhiêu?","Thông tin bậc đào tạo sau ĐH ngành Quản trị kinh doanh."
"29","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Logistics năm 2022?","Thông tin cơ bản về Logistics năm 2022."
"30","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Trí tuệ nhân tạo năm 2024?","Thông tin cơ bản về Trí tuệ nhân tạo năm 2024."
"31","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Cơ điện tử năm 2023?","Thông tin cơ bản về Cơ điện tử năm 2023."
"32","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Tài chính ngân hàng năm 2023 không?","Thông tin cơ bản về Tài chính ngân hàng năm 2023."
"33","Đa bậc đào tạo","Học phí thạc sĩ ngành Kỹ thuật ô tô là bao nhiêu?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật ô tô."
"34","Đa bậc đào tạo","Học phí thạc sĩ ngành Luật là bao nhiêu?","Thông tin bậc đào tạo sau ĐH ngành Luật."
"35","Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Kỹ thuật máy tính không, và học phí so với Quản trị kinh doanh thế nào?","Phân tích giữa Kỹ thuật máy tính và Quản trị kinh doanh..."
"36","Tra cứu đơn lẻ","Chỉ tiêu ngành Hệ thống thông tin năm 2024 lấy bao nhiêu?","Thông tin cơ bản về Hệ thống thông tin năm 2024."
"37","Ngoài phạm vi","Mức lương trung bình ngành IT ở Mỹ?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"38","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Kỹ thuật phần mềm năm 2024?","Thông tin cơ bản về Kỹ thuật phần mềm năm 2024."
"39","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Tài chính ngân hàng năm 2023?","Thông tin cơ bản về Tài chính ngân hàng năm 2023."
"40","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Kinh tế số năm 2024?","Thông tin cơ bản về Kinh tế số năm 2024."
"41","Ngoài phạm vi","Thuyết tương đối là gì?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"42","Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Kỹ thuật máy tính không, và học phí so với Quản trị kinh doanh thế nào?","Phân tích giữa Kỹ thuật máy tính và Quản trị kinh doanh..."
"43","Từ lóng viết tắt","Thi khối nào vào OTO?","Thông tin chi tiết về OTO."
"44","Logic phức hợp","Ngành Quản trị khách sạn và Logistics ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Quản trị khách sạn và Logistics..."
"45","Tra cứu đơn lẻ","Ngành Hệ thống thông tin xét những tổ hợp môn nào trong năm 2023?","Thông tin cơ bản về Hệ thống thông tin năm 2023."
"46","Tra cứu đơn lẻ","Điểm chuẩn ngành Ngôn ngữ Anh năm 2023 là bao nhiêu?","Thông tin cơ bản về Ngôn ngữ Anh năm 2023."
"47","Tra cứu đơn lẻ","Học phí ngành Kỹ thuật ô tô năm 2024 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật ô tô năm 2024."
"48","Tra cứu đơn lẻ","Điểm chuẩn ngành Kỹ thuật xây dựng năm 2022 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật xây dựng năm 2022."
"49","Ngoài phạm vi","Trường Đại học Bách Khoa lấy bao nhiêu điểm?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"50","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Kỹ thuật điện năm 2022?","Thông tin cơ bản về Kỹ thuật điện năm 2022."
"51","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kỹ thuật cơ khí năm 2022?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2022."
"52","Đa bậc đào tạo","Thời gian học NCS ngành Ngôn ngữ Anh?","Thông tin bậc đào tạo sau ĐH ngành Ngôn ngữ Anh."
"53","Từ lóng viết tắt","Chỉ tiêu CK trường lấy bn?","Thông tin chi tiết về CK."
"54","Từ lóng viết tắt","Thi khối nào vào DL?","Thông tin chi tiết về DL."
"55","Từ lóng viết tắt","Học AI tốn bao nhiêu tiền?","Thông tin chi tiết về AI."
"56","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kinh tế số năm 2022?","Thông tin cơ bản về Kinh tế số năm 2022."
"57","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Công nghệ thông tin năm 2022?","Thông tin cơ bản về Công nghệ thông tin năm 2022."
"58","Từ lóng viết tắt","Khối thi vào KTS?","Thông tin chi tiết về KTS."
"59","Ngoài phạm vi","Trường Kinh tế Quốc dân có xét học bạ không?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"60","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Hệ thống thông tin năm 2022 không?","Thông tin cơ bản về Hệ thống thông tin năm 2022."
"61","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kỹ thuật xây dựng năm 2022?","Thông tin cơ bản về Kỹ thuật xây dựng năm 2022."
"62","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kỹ thuật điện năm 2022?","Thông tin cơ bản về Kỹ thuật điện năm 2022."
"63","Ngoài phạm vi","Làm sao để đăng ký tài khoản Facebook?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"64","Tra cứu đơn lẻ","Chỉ tiêu ngành Kỹ thuật cơ khí năm 2022 lấy bao nhiêu?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2022."
"65","Logic phức hợp","Học bổng của ngành Hệ thống thông tin yêu cầu GPA bao nhiêu và so với Khoa học máy tính có dễ hơn không?","Phân tích giữa Hệ thống thông tin và Khoa học máy tính..."
"66","Ngoài phạm vi","Công nghệ Blockchain là gì?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"67","Đa bậc đào tạo","Chi phí học cao học ngành Kỹ thuật ô tô?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật ô tô."
"68","Tra cứu đơn lẻ","Chỉ tiêu ngành Khoa học máy tính năm 2023 lấy bao nhiêu?","Thông tin cơ bản về Khoa học máy tính năm 2023."
"69","Tra cứu đơn lẻ","Điểm chuẩn ngành Logistics năm 2024 là bao nhiêu?","Thông tin cơ bản về Logistics năm 2024."
"70","Tra cứu đơn lẻ","Ngành Kỹ thuật cơ khí xét những tổ hợp môn nào trong năm 2024?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2024."
"71","Tra cứu đơn lẻ","Khối thi của ngành Quản trị khách sạn năm 2022 là gì?","Thông tin cơ bản về Quản trị khách sạn năm 2022."
"72","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kỹ thuật cơ khí năm 2023?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2023."
"73","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kinh tế số năm 2023?","Thông tin cơ bản về Kinh tế số năm 2023."
"74","Tra cứu đơn lẻ","Điểm chuẩn ngành Quản trị khách sạn năm 2022 là bao nhiêu?","Thông tin cơ bản về Quản trị khách sạn năm 2022."
"75","Từ lóng viết tắt","review ngành Luật ở TLU?","Thông tin chi tiết về Luật."
"76","Từ lóng viết tắt","Thi khối nào vào Nước?","Thông tin chi tiết về Nước."
"77","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kỹ thuật phần mềm năm 2023?","Thông tin cơ bản về Kỹ thuật phần mềm năm 2023."
"78","Ngoài phạm vi","Các địa điểm phượt quanh Hà Nội?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"79","Đa bậc đào tạo","Điều kiện học văn bằng 2 ngành Kế toán?","Thông tin bậc đào tạo sau ĐH ngành Kế toán."
"80","Đa bậc đào tạo","Thời gian học NCS ngành Logistics?","Thông tin bậc đào tạo sau ĐH ngành Logistics."
"81","Logic phức hợp","Cơ hội việc làm của Trí tuệ nhân tạo và Kỹ thuật máy tính cái nào tốt hơn?","Phân tích giữa Trí tuệ nhân tạo và Kỹ thuật máy tính..."
"82","Tra cứu đơn lẻ","Ngành Thương mại điện tử xét những tổ hợp môn nào trong năm 2022?","Thông tin cơ bản về Thương mại điện tử năm 2022."
"83","Đa bậc đào tạo","Trường tuyển bao nhiêu thạc sĩ Ngôn ngữ Anh?","Thông tin bậc đào tạo sau ĐH ngành Ngôn ngữ Anh."
"84","Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Kỹ thuật cơ khí không, và học phí so với Cơ điện tử thế nào?","Phân tích giữa Kỹ thuật cơ khí và Cơ điện tử..."
"85","Tra cứu đơn lẻ","Điểm chuẩn ngành Kỹ thuật cơ khí năm 2022 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2022."
"86","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Luật năm 2024 không?","Thông tin cơ bản về Luật năm 2024."
"87","Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Kỹ thuật điện hay Kỹ thuật xây dựng ưu tiên hơn?","Phân tích giữa Kỹ thuật điện và Kỹ thuật xây dựng..."
"88","Đa bậc đào tạo","Trường tuyển bao nhiêu thạc sĩ Kế toán?","Thông tin bậc đào tạo sau ĐH ngành Kế toán."
"89","Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Công nghệ thông tin không, và học phí so với Kỹ thuật phần mềm thế nào?","Phân tích giữa Công nghệ thông tin và Kỹ thuật phần mềm..."
"90","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Hệ thống thông tin năm 2023?","Thông tin cơ bản về Hệ thống thông tin năm 2023."
"91","Đa bậc đào tạo","Mình tốt nghiệp cao đẳng muốn liên thông Kỹ thuật xây dựng?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật xây dựng."
"92","Tra cứu đơn lẻ","Điểm chuẩn ngành Kỹ thuật ô tô năm 2023 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật ô tô năm 2023."
"93","Tra cứu đơn lẻ","Điểm chuẩn ngành Ngôn ngữ Anh năm 2024 là bao nhiêu?","Thông tin cơ bản về Ngôn ngữ Anh năm 2024."
"94","Từ lóng viết tắt","Khối thi vào HTTT?","Thông tin chi tiết về HTTT."
"95","Ngoài phạm vi","Nhạc cụ nào dễ học nhất?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"96","Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Kỹ thuật điện hay Kỹ thuật xây dựng ưu tiên hơn?","Phân tích giữa Kỹ thuật điện và Kỹ thuật xây dựng..."
"97","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Logistics năm 2022?","Thông tin cơ bản về Logistics năm 2022."
"98","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Quản trị khách sạn năm 2022 không?","Thông tin cơ bản về Quản trị khách sạn năm 2022."
"99","Đa bậc đào tạo","Học VB2 Quản trị kinh doanh cần gì?","Thông tin bậc đào tạo sau ĐH ngành Quản trị kinh doanh."
"100","Từ lóng viết tắt","Em học dốt toán có vào đc Luật không?","Thông tin chi tiết về Luật."
"101","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Công nghệ thông tin năm 2024?","Thông tin cơ bản về Công nghệ thông tin năm 2024."
"102","Ngoài phạm vi","Mình muốn học nấu ăn thì đăng ký ở đâu?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"103","Từ lóng viết tắt","Điểm chuẩn KTS?","Thông tin chi tiết về KTS."
"104","Từ lóng viết tắt","Em học dốt toán có vào đc QTKD không?","Thông tin chi tiết về QTKD."
"105","Tra cứu đơn lẻ","Học phí ngành Quản trị kinh doanh năm 2022 là bao nhiêu?","Thông tin cơ bản về Quản trị kinh doanh năm 2022."
"106","Từ lóng viết tắt","Điểm chuẩn Log?","Thông tin chi tiết về Log."
"107","Từ lóng viết tắt","review ngành QTKD ở TLU?","Thông tin chi tiết về QTKD."
"108","Tra cứu đơn lẻ","Điểm chuẩn ngành Hệ thống thông tin năm 2024 là bao nhiêu?","Thông tin cơ bản về Hệ thống thông tin năm 2024."
"109","Đa bậc đào tạo","Học phí thạc sĩ ngành Tài chính ngân hàng là bao nhiêu?","Thông tin bậc đào tạo sau ĐH ngành Tài chính ngân hàng."
"110","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Ngôn ngữ Anh năm 2024 không?","Thông tin cơ bản về Ngôn ngữ Anh năm 2024."
"111","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Thương mại điện tử năm 2022 không?","Thông tin cơ bản về Thương mại điện tử năm 2022."
"112","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Kinh tế số năm 2024 không?","Thông tin cơ bản về Kinh tế số năm 2024."
"113","Đa bậc đào tạo","Tiến sĩ ngành Hệ thống thông tin đào tạo mấy năm?","Thông tin bậc đào tạo sau ĐH ngành Hệ thống thông tin."
"114","Đa bậc đào tạo","Mình tốt nghiệp cao đẳng muốn liên thông Kỹ thuật phần mềm?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật phần mềm."
"115","Đa bậc đào tạo","Mình tốt nghiệp cao đẳng muốn liên thông Kỹ thuật ô tô?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật ô tô."
"116","Ngoài phạm vi","Kỹ năng giao tiếp hiệu quả?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"117","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Quản trị khách sạn năm 2024?","Thông tin cơ bản về Quản trị khách sạn năm 2024."
"118","Tra cứu đơn lẻ","Học phí ngành Ngôn ngữ Anh năm 2022 là bao nhiêu?","Thông tin cơ bản về Ngôn ngữ Anh năm 2022."
"119","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Quản trị kinh doanh năm 2024 không?","Thông tin cơ bản về Quản trị kinh doanh năm 2024."
"120","Đa bậc đào tạo","Học VB2 Hệ thống thông tin cần gì?","Thông tin bậc đào tạo sau ĐH ngành Hệ thống thông tin."
"121","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Ngôn ngữ Anh năm 2023 không?","Thông tin cơ bản về Ngôn ngữ Anh năm 2023."
"122","Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Kinh tế số không, và học phí so với Quản trị khách sạn thế nào?","Phân tích giữa Kinh tế số và Quản trị khách sạn..."
"123","Tra cứu đơn lẻ","Chỉ tiêu ngành Kế toán năm 2023 lấy bao nhiêu?","Thông tin cơ bản về Kế toán năm 2023."
"124","Tra cứu đơn lẻ","Khối thi của ngành Kỹ thuật cơ khí năm 2022 là gì?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2022."
"125","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Quản trị khách sạn năm 2023?","Thông tin cơ bản về Quản trị khách sạn năm 2023."
"126","Logic phức hợp","Cơ hội việc làm của Trí tuệ nhân tạo và Kỹ thuật máy tính cái nào tốt hơn?","Phân tích giữa Trí tuệ nhân tạo và Kỹ thuật máy tính..."
"127","Đa bậc đào tạo","Chi phí học cao học ngành Kỹ thuật xây dựng?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật xây dựng."
"128","Từ lóng viết tắt","Em học dốt toán có vào đc TCNH không?","Thông tin chi tiết về TCNH."
"129","Logic phức hợp","Ngành Kỹ thuật phần mềm và Hệ thống thông tin ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Kỹ thuật phần mềm và Hệ thống thông tin..."
"130","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Cơ điện tử năm 2022?","Thông tin cơ bản về Cơ điện tử năm 2022."
"131","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kỹ thuật cơ khí năm 2024?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2024."
"132","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Quản trị kinh doanh năm 2023?","Thông tin cơ bản về Quản trị kinh doanh năm 2023."
"133","Logic phức hợp","Ngành Cơ điện tử và Kỹ thuật ô tô ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Cơ điện tử và Kỹ thuật ô tô..."
"134","Ngoài phạm vi","Kinh nghiệm săn vé máy bay giá rẻ?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"135","Từ lóng viết tắt","Ngành XD học phí ntn?","Thông tin chi tiết về XD."
"136","Tra cứu đơn lẻ","Học phí ngành Cơ điện tử năm 2023 là bao nhiêu?","Thông tin cơ bản về Cơ điện tử năm 2023."
"137","Tra cứu đơn lẻ","Điểm chuẩn ngành Kỹ thuật phần mềm năm 2022 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật phần mềm năm 2022."
"138","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Tài chính ngân hàng năm 2024?","Thông tin cơ bản về Tài chính ngân hàng năm 2024."
"139","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Ngôn ngữ Anh năm 2022 không?","Thông tin cơ bản về Ngôn ngữ Anh năm 2022."
"140","Tra cứu đơn lẻ","Khối thi của ngành Ngôn ngữ Anh năm 2024 là gì?","Thông tin cơ bản về Ngôn ngữ Anh năm 2024."
"141","Từ lóng viết tắt","Học Luật tốn bao nhiêu tiền?","Thông tin chi tiết về Luật."
"142","Ngoài phạm vi","Tuyến xe buýt nào đi qua Hồ Gươm?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"143","Tra cứu đơn lẻ","Khối thi của ngành Công nghệ thông tin năm 2023 là gì?","Thông tin cơ bản về Công nghệ thông tin năm 2023."
"144","Từ lóng viết tắt","Chỉ tiêu Log trường lấy bn?","Thông tin chi tiết về Log."
"145","Đa bậc đào tạo","Điều kiện học văn bằng 2 ngành Hệ thống thông tin?","Thông tin bậc đào tạo sau ĐH ngành Hệ thống thông tin."
"146","Tra cứu đơn lẻ","Chỉ tiêu ngành Cơ điện tử năm 2022 lấy bao nhiêu?","Thông tin cơ bản về Cơ điện tử năm 2022."
"147","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Cơ điện tử năm 2023?","Thông tin cơ bản về Cơ điện tử năm 2023."
"148","Logic phức hợp","Học bổng của ngành Logistics yêu cầu GPA bao nhiêu và so với Ngôn ngữ Anh có dễ hơn không?","Phân tích giữa Logistics và Ngôn ngữ Anh..."
"149","Từ lóng viết tắt","Chỉ tiêu KTĐ trường lấy bn?","Thông tin chi tiết về KTĐ."
"150","Từ lóng viết tắt","Em học dốt toán có vào đc TMĐT không?","Thông tin chi tiết về TMĐT."
"151","Tra cứu đơn lẻ","Chỉ tiêu ngành Công nghệ thông tin năm 2024 lấy bao nhiêu?","Thông tin cơ bản về Công nghệ thông tin năm 2024."
